Source,Year,Month,Mean
GISTEMP,1897,2,-0.17
GCAG,1897,2,-0.3375
GISTEMP,1897,3,-0.14
GCAG,1897,3,-0.4101
GISTEMP,1897,4,-0.03
GCAG,1897,4,-0.1087
GISTEMP,1897,5,-0.02
GCAG,1897,5,-0.1214
GISTEMP,1897,6,-0.12
GCAG,1897,6,-0.1698
GISTEMP,1897,7,-0.03
GCAG,1897,7,-0.1899
GISTEMP,1897,8,-0.09
GCAG,1897,8,-0.1829
GISTEMP,1897,9,-0.08
GCAG,1897,9,-0.1764
GISTEMP,1897,10,-0.13
GCAG,1897,10,-0.2058
GISTEMP,1897,11,-0.19
GCAG,1897,11,-0.4101
GISTEMP,1897,12,-0.21
GCAG,1897,12,-0.4533
GISTEMP,1898,1,-0.04
GCAG,1898,1,-0.1852
GISTEMP,1898,2,-0.31
GCAG,1898,2,-0.544
GISTEMP,1898,3,-0.51
GCAG,1898,3,-0.8334
GISTEMP,1898,4,-0.3
GCAG,1898,4,-0.6605
GISTEMP,1898,5,-0.3
GCAG,1898,5,-0.548
GISTEMP,1898,6,-0.19
GCAG,1898,6,-0.3343
GISTEMP,1898,7,-0.22
GCAG,1898,7,-0.3907
GISTEMP,1898,8,-0.27
GCAG,1898,8,-0.3948
GISTEMP,1898,9,-0.22
GCAG,1898,9,-0.3599
GISTEMP,1898,10,-0.35
GCAG,1898,10,-0.4759
GISTEMP,1898,11,-0.38
GCAG,1898,11,-0.4949
GISTEMP,1898,12,-0.24
GCAG,1898,12,-0.4668
GISTEMP,1899,1,-0.17
GCAG,1899,1,-0.3436
GISTEMP,1899,2,-0.38
GCAG,1899,2,-0.5276
GISTEMP,1899,3,-0.36
GCAG,1899,3,-0.5634
GISTEMP,1899,4,-0.2
GCAG,1899,4,-0.4177
GISTEMP,1899,5,-0.23
GCAG,1899,5,-0.3581
GISTEMP,1899,6,-0.31
GCAG,1899,6,-0.5072
GISTEMP,1899,7,-0.15
GCAG,1899,7,-0.3643
GISTEMP,1899,8,-0.08
GCAG,1899,8,-0.2368
GISTEMP,1899,9,-0.04
GCAG,1899,9,-0.143
GISTEMP,1899,10,-0.04
GCAG,1899,10,-0.1759
GISTEMP,1899,11,0.12
GCAG,1899,11,-0.0465
GISTEMP,1899,12,-0.27
GCAG,1899,12,-0.4475
GISTEMP,1900,1,-0.37
GCAG,1900,1,-0.4812
GISTEMP,1900,2,-0.06
GCAG,1900,2,-0.192
GISTEMP,1900,3,0.0
GCAG,1900,3,-0.1989
GISTEMP,1900,4,-0.09
GCAG,1900,4,-0.2253
GISTEMP,1900,5,-0.09
GCAG,1900,5,-0.3005
GISTEMP,1900,6,-0.1
GCAG,1900,6,-0.2233
GISTEMP,1900,7,-0.13
GCAG,1900,7,-0.2097
GISTEMP,1900,8,-0.09
GCAG,1900,8,-0.21
GISTEMP,1900,9,-0.05
GCAG,1900,9,-0.1929
GISTEMP,1900,10,0.09
GCAG,1900,10,-0.0578
GISTEMP,1900,11,-0.07
GCAG,1900,11,-0.2571
GISTEMP,1900,12,-0.07
GCAG,1900,12,-0.2132
GISTEMP,1901,1,-0.23
GCAG,1901,1,-0.264
GISTEMP,1901,2,-0.11
GCAG,1901,2,-0.2584
GISTEMP,1901,3,0.06
GCAG,1901,3,-0.1798
GISTEMP,1901,4,-0.03
GCAG,1901,4,-0.1648
GISTEMP,1901,5,-0.15
GCAG,1901,5,-0.2345
GISTEMP,1901,6,-0.12
GCAG,1901,6,-0.256
GISTEMP,1901,7,-0.14
GCAG,1901,7,-0.3458
GISTEMP,1901,8,-0.2
GCAG,1901,8,-0.2114
GISTEMP,1901,9,-0.22
GCAG,1901,9,-0.3562
GISTEMP,1901,10,-0.29
GCAG,1901,10,-0.3356
GISTEMP,1901,11,-0.17
GCAG,1901,11,-0.3737
GISTEMP,1901,12,-0.28
GCAG,1901,12,-0.4657
GISTEMP,1902,1,-0.17
GCAG,1902,1,-0.4251
GISTEMP,1902,2,-0.09
GCAG,1902,2,-0.2241
GISTEMP,1902,3,-0.27
GCAG,1902,3,-0.4558
GISTEMP,1902,4,-0.27
GCAG,1902,4,-0.4443
GISTEMP,1902,5,-0.32
GCAG,1902,5,-0.4346
GISTEMP,1902,6,-0.32
GCAG,1902,6,-0.4501
GISTEMP,1902,7,-0.28
GCAG,1902,7,-0.4109
GISTEMP,1902,8,-0.3
GCAG,1902,8,-0.4305
GISTEMP,1902,9,-0.29
GCAG,1902,9,-0.3731
GISTEMP,1902,10,-0.3
GCAG,1902,10,-0.4973
GISTEMP,1902,11,-0.37
GCAG,1902,11,-0.5539
GISTEMP,1902,12,-0.43
GCAG,1902,12,-0.549
GISTEMP,1903,1,-0.25
GCAG,1903,1,-0.4225
GISTEMP,1903,2,-0.06
GCAG,1903,2,-0.2346
GISTEMP,1903,3,-0.24
GCAG,1903,3,-0.4061
GISTEMP,1903,4,-0.41
GCAG,1903,4,-0.5899
GISTEMP,1903,5,-0.4
GCAG,1903,5,-0.5138
GISTEMP,1903,6,-0.43
GCAG,1903,6,-0.5495
GISTEMP,1903,7,-0.35
GCAG,1903,7,-0.5112
GISTEMP,1903,8,-0.45
GCAG,1903,8,-0.6107
GISTEMP,1903,9,-0.49
GCAG,1903,9,-0.5712
GISTEMP,1903,10,-0.46
GCAG,1903,10,-0.6738
GISTEMP,1903,11,-0.42
GCAG,1903,11,-0.6311
GISTEMP,1903,12,-0.51
GCAG,1903,12,-0.7082
GISTEMP,1904,1,-0.64
GCAG,1904,1,-0.797
